가게이름,날짜,리뷰,평점,주소,분류
만리성,2020.09.15.,사장님이 바뀌셨네요. 주방장도 바뀌었는지 예전 그 맛이 아님.,1,서울 종로구 대학로12길 61,북경오리
만리성,2020.08.29.,일단 서비스가 정말 별로고 날파리가 많네요. 할인행사한다고 현수막 붙어있는데 막상 다음달부터라네요. 시작날짜도 안써있었는데요. 오리 껍질은 바삭하기보단 기름이 많아 느끼한 편이에요. 전병도 그냥 기성품 데핀거같은데 추가금도 받고요. 재방문의사는 없어요.,1,서울 종로구 대학로12길 61,북경오리
만리성,2020.04.26.,좋아요,4,서울 종로구 대학로12길 61,북경오리
만리성,2020.03.25.,비린내 심하고 그맛이 안남,1,서울 종로구 대학로12길 61,북경오리
만리성,2020.03.19.,친절하세용 맛은... 평범! ,3,서울 종로구 대학로12길 61,북경오리
만리성,2020.02.18.,보통이에요,3,서울 종로구 대학로12길 61,북경오리
만리성,2019.08.24.,타지에서 온거라 연극 볼 겸 해서 왔는데 너무 좋았어요 !!  특히 찹쌀탕수육이 너무 맛있었어요ㅠㅠ 사진에 있는건 소자라 양이 적어보일 순 있지만 잘라놓으면 많아요 !! 무엇보다도 직원들도 너무 친절하셔서 더 맛있게 먹을 수 있었어요 ㅎㅎ 또 서울 오게된다면 또 오고싶을정도에요 ! 제가 먹는 양이 적어서 남기고 온 게 아직도 후회돼요ㅠㅠ ,5,서울 종로구 대학로12길 61,북경오리
만리성,2019.07.22.,마라탕 전혀 1도 안매움 마라향 나는 면임 우육면이라기보단 고기가 들어가면 면..?  고기가 질김..  진짜 마라탕은 요즘 나오는 마라탕 아님  깐풍기 맛있었음 근데 깐풍기 야채랑 마라탕에 들어가는 야채랑 똑같음 깐풍기는 영업당함 복날이라 50% 까준다고.. 두 번 거절했으나 세 번 물어봄  ,2,서울 종로구 대학로12길 61,북경오리
만리성,2019.06.27.,짜장 짬뽕 다다맛있어요♡♡♡♡♡,5,서울 종로구 대학로12길 61,북경오리
만리성,2019.05.25.,중국음식을 선호하지 않은데도 여기는 너무 맛있다 특히 탕수육 최고 찹쌀탕수육 최고,5,서울 종로구 대학로12길 61,북경오리
만리성,2019.02.25.,1시간30분째 이것만 먹는중이에요..,1,서울 종로구 대학로12길 61,북경오리
만리성,2019.02.18.,"-처음 배달주문: 메뉴 한개 빼고 가져옴  -두번째 배달주문: 1시간이 지나도 안옴, 다시 전화해보니 주문이 누락되었다고 함. 너무 늦어서 다른데 시키기도 귀찮아서 그냥 빨리 갖다달라고 함. 30분후에 왔는데 이번에도 메뉴하나 빼고 가져옴.  -맛은 괜찮은데 주문받는 사람을 바꿔야할 듯.",1,서울 종로구 대학로12길 61,북경오리
만리성,2019.01.24.,가격대비 좋지 않음. 맛은 평범하나 재료나 양이 가격에 비해 부실합니다. 차라리 허름해도 가격에 맞는 중국집으로 갈래요.,1,서울 종로구 대학로12길 61,북경오리
