형태소,품사,가게이름,날짜,평점,카운트
!,Punctuation,공푸,2020.01.01,3,1
!,Punctuation,공푸,2020.01.01,5,1
!,Punctuation,광화문짬뽕,2020.07.31.,5,1
!,Punctuation,김사부샤브샤브,2020.01.01,4,1
!,Punctuation,대한닭갈비,2020.06.26.,5,1
!,Punctuation,동영관,2019.12.23.,3,1
!,Punctuation,라공방 대학로본점,2020.10.04.,5,2
!,Punctuation,라공방 대학로본점,2020.11.02.,5,1
!,Punctuation,라화쿵부 명동점,2019.05.19.,5,1
!,Punctuation,라화쿵부 명동점,2019.08.02.,1,3
!,Punctuation,락희안 명지대본점,2020.01.01,5,2
!,Punctuation,란주탕슉,2016.10.27.,1,1
!,Punctuation,란주탕슉,2018.08.21.,4,1
!,Punctuation,란주탕슉,2020.07.23.,4,1
!,Punctuation,램랜드,2020.01.01,4,1
!,Punctuation,램랜드,2020.01.01,5,2
!,Punctuation,루루,2020.01.01,5,3
!,Punctuation,리춘시장 영등포역점,2020.06.28.,3,1
!,Punctuation,만보성,2020.01.16.,5,1
!,Punctuation,매화반점 1호점,2020.01.01,1,1
!,Punctuation,매화반점 1호점,2020.01.01,3,1
!,Punctuation,미가양고기,2020.01.01,5,2
!,Punctuation,미엔아이 송파점,2020.01.01,3,4
!,Punctuation,미엔아이 송파점,2020.01.01,5,2
!,Punctuation,바오바,2020.01.01,4,2
!,Punctuation,백객도,2020.01.01,1,1
!,Punctuation,백객도,2020.01.01,5,1
!,Punctuation,벽돌해피푸드 압구정점,2020.01.01,4,1
!,Punctuation,불이아 본점,2020.01.01,5,1
!,Punctuation,빠오즈푸,2020.01.01,4,1
!,Punctuation,산동교자,2018.04.22.,5,1
!,Punctuation,산동주방,2019.03.14.,5,1
!,Punctuation,산동주방,2019.05.03.,1,1
!,Punctuation,상하이,2019.09.05.,5,1
!,Punctuation,상하이,2020.01.10.,5,1
!,Punctuation,상하이,2020.05.31.,5,1
!,Punctuation,소리원,2020.01.01,3,1
!,Punctuation,손오공마라탕,2020.01.01,5,1
!,Punctuation,송화양꼬치,2020.01.01,4,1
!,Punctuation,송화양꼬치,2020.01.01,5,1
!,Punctuation,신룽푸마라탕,2019.01.19.,2,1
!,Punctuation,신승관,2020.01.01,1,2
!,Punctuation,야상해,2020.01.01,4,1
!,Punctuation,열빈 광화문점,2020.01.01,5,1
!,Punctuation,영화장,2020.01.01,5,1
!,Punctuation,오향가 가락본점,2020.01.01,5,2
!,Punctuation,완차이면가,2020.02.20.,5,1
!,Punctuation,인량 훠궈,2020.01.01,4,1
!,Punctuation,쟈니덤플링 1호점,2020.01.01,3,1
!,Punctuation,정육면체,2020.01.01,2,1
!,Punctuation,주,2020.01.01,5,1
!,Punctuation,중경마라탕 강남역점,2020.01.01,4,1
!,Punctuation,중심,2020.05.12.,5,1
!,Punctuation,중심,2020.05.21.,5,1
!,Punctuation,중심,2020.09.30.,5,1
!,Punctuation,쮸즈,2020.01.01,4,1
!,Punctuation,채린중국요리,2020.01.01,1,1
!,Punctuation,천유향마라향솥,2020.01.01,4,1
!,Punctuation,천진영감,2020.01.01,5,1
!,Punctuation,청화원,2019.12.04.,5,1
!,Punctuation,청화원,2020.01.11.,1,2
!,Punctuation,청화원,2020.11.06.,5,1
!,Punctuation,춘리마라탕,2019.10.21.,5,1
!,Punctuation,춘리마라탕,2020.02.13.,4,1
!,Punctuation,칠기마라탕,2020.01.01,4,1
!,Punctuation,큐큐면관 회기점,2020.02.18.,1,1
!,Punctuation,팔레드신,2020.01.01,1,1
!,Punctuation,포가,2020.01.01,5,1
!,Punctuation,피슈마라홍탕 상암점,2020.01.01,5,1
!,Punctuation,하이디라오 강남점,2020.01.01,4,4
!,Punctuation,하하,2020.01.01,3,1
!,Punctuation,한성양꼬치 종각점,2020.05.04.,5,1
!,Punctuation,한성양꼬치 종각점,2020.05.06.,1,1
!,Punctuation,헤이 요우지아씨아오마오차이 한국1호점,2020.01.01,5,1
